Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2024-01-19T16:11:00Z,NVDA,61.13,-17,Limit,Filled,-1039.21, 
2024-01-19T20:04:00Z,UNH,504.23,2,Stop Market,Filled,1008.46, 
2024-01-22T14:30:00Z,XOM,91.22395849,10,Market,Filled,912.2395849,TimeStop_D+4 
2024-01-22T14:30:00Z,AAPL,193.6901461,5,Stop Limit,Filled,968.4507303, 
2024-01-22T14:30:00Z,BAC,31.48193046,31,Stop Limit,Filled,975.9398444, 
2024-01-22T14:30:00Z,GS,375.16,2,Stop Limit,Filled,750.32, 
2024-01-23T14:30:00Z,TSLA,208.79,4,Market,Filled,835.16,TimeStop_D+4 
2024-01-23T14:30:00Z,DIS,93.82573316,11,Market,Filled,1032.083065,TimeStop_D+4 
2024-01-23T14:30:00Z,HD,334.9986858,-2,Stop Limit,Filled,-669.9973716, 
2024-01-23T14:30:00Z,JNJ,150.66,-6,Stop Limit,Filled,-903.96, 
2024-01-25T14:30:00Z,GOOGL,147.6714884,-6,Market,Filled,-886.0289302,TimeStop_D+4 
2024-01-25T14:30:00Z,META,388.276404,-2,Market,Filled,-776.552808,TimeStop_D+4 
2024-01-25T14:30:00Z,NVDA,62.59,15,Stop Limit,Filled,938.85, 
2024-01-25T14:30:00Z,NFLX,556,1,Stop Limit,Filled,556, 
2024-01-25T14:30:00Z,XOM,95.62754927,10,Stop Limit,Filled,956.2754927, 
2024-01-25T14:39:00Z,NVDA,60.71,-15,Stop Market,Filled,-910.65, 
2024-01-26T14:30:00Z,AAPL,192.5398846,-5,Market,Filled,-962.699423,TimeStop_D+4 
2024-01-26T14:30:00Z,BAC,31.98970354,-31,Market,Filled,-991.6808096,TimeStop_D+4 
2024-01-26T14:30:00Z,GS,367.971809,-2,Market,Filled,-735.943618,TimeStop_D+4 
2024-01-26T14:30:00Z,TSLA,186.48,5,Stop Limit,Filled,932.4, 
2024-01-26T14:30:00Z,V,263.62,-3,Stop Limit,Filled,-790.86, 
2024-01-26T14:30:00Z,NKE,99.44473761,10,Stop Limit,Filled,994.4473761, 
2024-01-26T14:30:00Z,UNH,486.8344883,2,Stop Limit,Filled,973.6689765, 
2024-01-26T14:31:00Z,V,271.53,3,Stop Market,Filled,814.59, 
2024-01-26T14:38:00Z,TSLA,195.8,-5,Limit,Filled,-979, 
2024-01-26T16:49:00Z,NFLX,561.56,-1,Stop Market,Filled,-561.56, 
2024-01-29T14:30:00Z,HD,340.5676196,2,Market,Filled,681.1352392,TimeStop_D+4 
2024-01-29T14:30:00Z,JNJ,150.9563281,6,Market,Filled,905.7379684,TimeStop_D+4 
2024-01-29T14:30:00Z,META,399.4375989,2,Stop Limit,Filled,798.8751978, 
2024-01-29T14:30:00Z,NVDA,62.19162873,16,Stop Limit,Filled,995.0660597, 
2024-01-29T14:30:00Z,DIS,96.03618376,10,Stop Limit,Filled,960.3618376, 
2024-01-29T20:01:00Z,META,386.3284127,-2,Stop Market,Filled,-772.6568254, 
2024-01-30T14:30:00Z,JPM,169.5911516,5,Stop Limit,Filled,847.9557578, 
2024-01-30T14:30:00Z,BAC,32.8519597,30,Stop Limit,Filled,985.5587909, 
2024-01-30T14:30:00Z,PFE,25.53,39,Stop Limit,Filled,995.67, 
