Time,Symbol,Price,Quantity,Type,Status,Value,Tag
2024-01-25T14:30:00Z,GOOG,149.318169088,-6,Market,Filled,-895.909014528,"TimeStop_D+4" 
2024-01-25T14:30:00Z,META,0,2,Stop Limit,Canceled,0,"" 
2024-01-25T14:30:00Z,META,0,-2,Stop Limit,Canceled,0,"" 
2024-01-25T14:30:00Z,GOOG,152.367302912,6,Stop Limit,Filled,914.203817472,"" 
2024-01-25T14:30:00Z,GOOG,0,-6,Stop Limit,Canceled,0,"" 
2024-01-25T15:21:00Z,GOOG,0,-6,Limit,Canceled,0,"" 
2024-01-25T15:21:00Z,GOOG,0,-6,Stop Market,Canceled,0,"" 
2024-01-26T14:30:00Z,AAPL,192.539884599,-5,Market,Filled,-962.699422995,"TimeStop_D+4" 
2024-01-26T14:30:00Z,AAPL,0,5,Stop Limit,Canceled,0,"" 
2024-01-26T14:30:00Z,AAPL,0,-5,Stop Limit,Canceled,0,"" 
2024-01-26T14:30:00Z,META,0,2,Stop Limit,Canceled,0,"" 
2024-01-26T14:30:00Z,META,0,-2,Stop Limit,Canceled,0,"" 
2024-01-29T14:30:00Z,AAPL,0,5,Stop Limit,Canceled,0,"" 
2024-01-29T14:30:00Z,AAPL,0,-5,Stop Limit,Canceled,0,"" 
2024-01-29T14:30:00Z,META,399.43759889,2,Stop Limit,Filled,798.87519778,"" 
2024-01-29T14:30:00Z,META,0,-2,Stop Limit,Canceled,0,"" 
2024-01-29T20:01:00Z,META,0,-2,Limit,Canceled,0,"" 
2024-01-29T20:01:00Z,META,386.328412701,-2,Stop Market,Filled,-772.656825402,"" 
2024-01-30T14:30:00Z,AAPL,0,5,Stop Limit,Canceled,0,"" 
2024-01-30T14:30:00Z,AAPL,186.302691036,-5,Stop Limit,Filled,-931.51345518,"" 
2024-01-30T16:10:00Z,AAPL,0,5,Limit,Canceled,0,"" 
2024-01-30T16:10:00Z,AAPL,0,5,Stop Market,Canceled,0,"" 
2024-01-31T14:30:00Z,GOOG,151.86076928,-6,Market,Filled,-911.16461568,"TimeStop_D+4" 
2024-01-31T14:30:00Z,GOOG,0,6,Stop Limit,Canceled,0,"" 
2024-01-31T14:30:00Z,GOOG,0,-6,Stop Limit,Canceled,0,"" 
2024-02-01T14:30:00Z,META,395.452167759,2,Stop Limit,Filled,790.904335518,"" 
2024-02-01T14:30:00Z,META,0,-2,Stop Limit,Canceled,0,"" 
2024-02-01T14:30:00Z,GOOG,0,6,Stop Limit,Canceled,0,"" 
2024-02-01T14:30:00Z,GOOG,0,-7,Stop Limit,Canceled,0,"" 
2024-02-01T14:33:00Z,META,456.88346407,-2,Limit,Filled,-913.76692814,"" 
2024-02-01T14:33:00Z,META,0,-2,Stop Market,Canceled,0,"" 
2024-02-02T14:30:00Z,GOOG,0,6,Stop Limit,Canceled,0,"" 
2024-02-02T14:30:00Z,GOOG,138.74,-7,Stop Limit,Filled,-971.18,"" 
2024-02-02T14:31:00Z,AAPL,184.44,5,Stop Market,Filled,922.2,"" 
2024-02-02T14:37:00Z,GOOG,0,7,Limit,Canceled,0,"" 
2024-02-02T14:37:00Z,GOOG,142.9,7,Stop Market,Filled,1000.3,"" 
2024-02-05T14:30:00Z,AAPL,0,5,Stop Limit,Canceled,0,"" 
2024-02-05T14:30:00Z,AAPL,0,-5,Stop Limit,Canceled,0,"" 
2024-02-05T14:30:00Z,META,0,2,Stop Limit,Canceled,0,"" 
2024-02-05T14:30:00Z,META,462.260317541,-2,Stop Limit,Filled,-924.520635082,"" 
2024-02-05T14:30:00Z,GOOG,145.514200832,6,Stop Limit,Filled,873.085204992,"" 
2024-02-05T14:30:00Z,GOOG,0,-7,Stop Limit,Canceled,0,"" 
2024-02-05T14:40:00Z,META,0,2,Limit,Canceled,0,"" 
2024-02-05T14:40:00Z,META,0,2,Stop Market,Canceled,0,"" 
2024-02-05T14:57:00Z,GOOG,0,-6,Limit,Canceled,0,"" 
2024-02-05T14:57:00Z,GOOG,0,-6,Stop Market,Canceled,0,"" 
2024-02-06T14:30:00Z,AAPL,0,5,Stop Limit,Canceled,0,"" 
2024-02-06T14:30:00Z,AAPL,0,-5,Stop Limit,Canceled,0,"" 
2024-02-07T14:30:00Z,AAPL,0,5,Stop Limit,Canceled,0,"" 
2024-02-07T14:30:00Z,AAPL,0,-5,Stop Limit,Canceled,0,"" 
2024-02-08T14:30:00Z,AAPL,0,5,Stop Limit,Canceled,0,"" 
2024-02-08T14:30:00Z,AAPL,0,-5,Stop Limit,Canceled,0,"" 
2024-02-09T14:30:00Z,META,467.259499234,2,Market,Filled,934.518998468,"TimeStop_D+4" 
2024-02-09T14:30:00Z,GOOG,146.229307136,-6,Market,Filled,-877.375842816,"TimeStop_D+4" 
